,name,salary,type,address,url,schedule,work_format,experience
295,Финансовый аналитик,No Info,Открытая,No Info,https://api.hh.ru/vacancies/129617725?host=hh.ru,Полный день,На месте работодателя,От 1 года до 3 лет
296,Senior / Lead Data Engineer,from 6000 to None in USD,Открытая,No Info,https://api.hh.ru/vacancies/129540165?host=hh.ru,Удаленная работа,Удалённо,Более 6 лет
297,"Руководитель категории ""Продукты""",No Info,Открытая,No Info,https://api.hh.ru/vacancies/130200854?host=hh.ru,Полный день,На месте работодателя,От 3 до 6 лет
298,Технический менеджер продукта (Логистика / FoodTech),No Info,Открытая,No Info,https://api.hh.ru/vacancies/129475512?host=hh.ru,Удаленная работа,На месте работодателя,От 3 до 6 лет
299,Аналитик данных DWH,from None to 300000 in RUR,Открытая,No Info,https://api.hh.ru/vacancies/130132544?host=hh.ru,Полный день,На месте работодателя,От 3 до 6 лет
300,Аналитик данных,No Info,Открытая,No Info,https://api.hh.ru/vacancies/129975193?host=hh.ru,Полный день,На месте работодателя,От 3 до 6 лет
301,Архитектор решений Big Data,No Info,Открытая,No Info,https://api.hh.ru/vacancies/130251558?host=hh.ru,Удаленная работа,Удалённо,От 3 до 6 лет
302,Junior data analyst (fintech),No Info,Открытая,No Info,https://api.hh.ru/vacancies/129841438?host=hh.ru,Удаленная работа,Удалённо,От 1 года до 3 лет
303,Quantitative analyst,from 300000 to None in RUR,Открытая,No Info,https://api.hh.ru/vacancies/129276550?host=hh.ru,Полный день,На месте работодателя,От 1 года до 3 лет
304,Senior Java Developer,No Info,Открытая,No Info,https://api.hh.ru/vacancies/129905371?host=hh.ru,Удаленная работа,Удалённо,От 3 до 6 лет
305,Data-аналитик,from None to 350000 in RUR,Открытая,No Info,https://api.hh.ru/vacancies/130164161?host=hh.ru,Удаленная работа,Удалённо,Более 6 лет
306,Финансовый аналитик,from 80000 to 100000 in RUR,Открытая,No Info,https://api.hh.ru/vacancies/130163798?host=hh.ru,Удаленная работа,Удалённо,От 3 до 6 лет
307,Руководитель направления CRM и программы лояльности,No Info,Анонимная,No Info,https://api.hh.ru/vacancies/129712255?host=hh.ru,Полный день,На месте работодателя,Более 6 лет
308,Middle Python Frontend Developer (Data Visualization),No Info,Открытая,No Info,https://api.hh.ru/vacancies/129893097?host=hh.ru,Полный день,На месте работодателя,От 3 до 6 лет
309,Аналитик больших данных,No Info,Открытая,No Info,https://api.hh.ru/vacancies/129483824?host=hh.ru,Полный день,No Info,От 1 года до 3 лет
310,Программист-разработчик/инженер данных,No Info,Открытая,No Info,https://api.hh.ru/vacancies/129590584?host=hh.ru,Удаленная работа,На месте работодателя,От 1 года до 3 лет
311,Бизнес-аналитик (Проект по управлению клиентскими данными),No Info,Открытая,No Info,https://api.hh.ru/vacancies/130204118?host=hh.ru,Полный день,Гибрид,От 1 года до 3 лет
312,Data Engineer / DWH Analyst,from 250000 to None in RUR,Открытая,No Info,https://api.hh.ru/vacancies/130212541?host=hh.ru,Удаленная работа,Удалённо,От 3 до 6 лет
313,Product Lead (Billing),from 350000 to 500000 in RUR,Открытая,No Info,https://api.hh.ru/vacancies/130161344?host=hh.ru,Удаленная работа,Удалённо,Более 6 лет
314,Дата-аналитик в Wildberries Fintech,No Info,Открытая,No Info,https://api.hh.ru/vacancies/129892797?host=hh.ru,Удаленная работа,Удалённо,От 3 до 6 лет
315,QA Engineer / Тестировщик,No Info,Открытая,No Info,https://api.hh.ru/vacancies/127148524?host=hh.ru,Полный день,На месте работодателя,От 3 до 6 лет
316,Senior Product Manager,No Info,Открытая,No Info,https://api.hh.ru/vacancies/127892027?host=hh.ru,Удаленная работа,Удалённо,От 3 до 6 лет
317,"Lead/Senior Product Manager (PDP, Reviews) | Менеджер по продукту (Карточка товара, Отзывы)",No Info,Открытая,No Info,https://api.hh.ru/vacancies/130008739?host=hh.ru,Удаленная работа,Удалённо,От 3 до 6 лет
318,Java Developer,No Info,Открытая,No Info,https://api.hh.ru/vacancies/128746357?host=hh.ru,Полный день,На месте работодателя,Более 6 лет
319,Аналитик данных,from 170000 to 200000 in RUR,Открытая,No Info,https://api.hh.ru/vacancies/129590644?host=hh.ru,Полный день,На месте работодателя,От 3 до 6 лет
320,Data analyst (Vietnam),from 3000 to None in EUR,Открытая,No Info,https://api.hh.ru/vacancies/129612774?host=hh.ru,Полный день,На месте работодателя,От 3 до 6 лет
321,Директор по цифровой трансформации в федеральную компанию,No Info,Открытая,No Info,https://api.hh.ru/vacancies/129555760?host=hh.ru,Полный день,На месте работодателя,От 3 до 6 лет
322,Дата‑инженер (Data Engineer),from 240000 to None in RUR,Открытая,No Info,https://api.hh.ru/vacancies/130056341?host=hh.ru,Удаленная работа,На месте работодателя,От 3 до 6 лет
323,Бизнес аналитик (Лаборатория ИИ),No Info,Открытая,No Info,https://api.hh.ru/vacancies/130183595?host=hh.ru,Полный день,На месте работодателя,От 3 до 6 лет
324,Руководитель отдела управления продуктами / Lead Product Officer,No Info,Открытая,No Info,https://api.hh.ru/vacancies/130240839?host=hh.ru,Удаленная работа,Удалённо,От 3 до 6 лет
325,"Менеджер по продукту, Ozon Fresh",No Info,Открытая,No Info,https://api.hh.ru/vacancies/129889201?host=hh.ru,Удаленная работа,Удалённо,От 3 до 6 лет
326,Ведущий КАМ (тимлид/руководитель группы),from 378000 to None in RUR,Открытая,No Info,https://api.hh.ru/vacancies/129697765?host=hh.ru,Полный день,На месте работодателя,От 3 до 6 лет
327,Руководитель направления (продукты для физических лиц),No Info,Открытая,No Info,https://api.hh.ru/vacancies/128702752?host=hh.ru,Полный день,На месте работодателя,От 3 до 6 лет
328,Java-разработчик,No Info,Открытая,No Info,https://api.hh.ru/vacancies/129338709?host=hh.ru,Полный день,На месте работодателя,От 1 года до 3 лет
329,Руководитель HR трансформации / Head of HR Transformation,No Info,Открытая,No Info,https://api.hh.ru/vacancies/129888943?host=hh.ru,Полный день,No Info,Более 6 лет
330,SMM-менеджер,No Info,Открытая,No Info,https://api.hh.ru/vacancies/130162509?host=hh.ru,Полный день,На месте работодателя,От 1 года до 3 лет
331,Data Analyst / BI Analyst,No Info,Открытая,No Info,https://api.hh.ru/vacancies/129382897?host=hh.ru,Удаленная работа,Удалённо,От 3 до 6 лет
332,"Системный аналитик (LLM, NLP, RAG, AI-агенты)",No Info,Открытая,No Info,https://api.hh.ru/vacancies/129671859?host=hh.ru,Полный день,Гибрид,От 3 до 6 лет
333,"Project Manager (МТС Веб Сервисы, КИОН)",No Info,Открытая,No Info,https://api.hh.ru/vacancies/129614351?host=hh.ru,Полный день,Гибрид,От 3 до 6 лет
334,Аналитик данных (сопровождение закупок),No Info,Открытая,No Info,https://api.hh.ru/vacancies/129739657?host=hh.ru,Полный день,Гибрид,От 1 года до 3 лет
335,Senior Python-разработчик,No Info,Открытая,No Info,https://api.hh.ru/vacancies/129884979?host=hh.ru,Удаленная работа,Удалённо,Более 6 лет
336,AI Product / Project manager,No Info,Открытая,No Info,https://api.hh.ru/vacancies/128494992?host=hh.ru,Удаленная работа,Удалённо,От 3 до 6 лет
337,Аналитик данных,No Info,Открытая,No Info,https://api.hh.ru/vacancies/128789922?host=hh.ru,Полный день,На месте работодателя,От 3 до 6 лет
338,Product Manager (Продуктолог),from 150000 to None in RUR,Открытая,No Info,https://api.hh.ru/vacancies/130106363?host=hh.ru,Удаленная работа,Удалённо,От 3 до 6 лет
339,Бизнес-аналитик,No Info,Открытая,No Info,https://api.hh.ru/vacancies/129660815?host=hh.ru,Полный день,Гибрид,Нет опыта
340,Technical Product Manager,from 3500 to 4500 in USD,Открытая,No Info,https://api.hh.ru/vacancies/125005519?host=hh.ru,Удаленная работа,Удалённо,От 3 до 6 лет
341,Стажер Data Engineer,No Info,Открытая,No Info,https://api.hh.ru/vacancies/128974159?host=hh.ru,Полный день,На месте работодателя,От 1 года до 3 лет
342,Аналитик данных (продуктовый),No Info,Открытая,No Info,https://api.hh.ru/vacancies/125891236?host=hh.ru,Полный день,Гибрид,От 1 года до 3 лет
343,Data Scientist,No Info,Открытая,No Info,https://api.hh.ru/vacancies/130140129?host=hh.ru,Удаленная работа,На месте работодателя,От 1 года до 3 лет
344,Игровой аналитик / Game Analyst,No Info,Открытая,No Info,https://api.hh.ru/vacancies/129533360?host=hh.ru,Удаленная работа,Удалённо,От 3 до 6 лет
345,Product Analyst / Business Analyst,from 250000 to 300000 in RUR,Открытая,No Info,https://api.hh.ru/vacancies/129872081?host=hh.ru,Удаленная работа,Удалённо,Более 6 лет
346,Системный аналитик (интеграции),No Info,Открытая,No Info,https://api.hh.ru/vacancies/129928479?host=hh.ru,Полный день,Гибрид,От 3 до 6 лет
347,React-разработчик (Навигатор BI),No Info,Открытая,No Info,https://api.hh.ru/vacancies/129673563?host=hh.ru,Полный день,На месте работодателя,От 3 до 6 лет
348,Senior Data Engineer,from None to 380000 in RUR,Открытая,No Info,https://api.hh.ru/vacancies/128378770?host=hh.ru,Полный день,Гибрид,От 3 до 6 лет
349,Senior Data Analyst,No Info,Открытая,No Info,https://api.hh.ru/vacancies/130126211?host=hh.ru,Удаленная работа,Удалённо,От 3 до 6 лет
350,Менеджер по омниканальному продвижению,No Info,Открытая,No Info,https://api.hh.ru/vacancies/129336643?host=hh.ru,Полный день,Гибрид,От 1 года до 3 лет
351,Инженер-программист отдела разработки и развития информационных систем,from 170000 to None in RUR,Открытая,No Info,https://api.hh.ru/vacancies/130086414?host=hh.ru,Полный день,На месте работодателя,От 3 до 6 лет
352,Руководитель отдела маркетинга (Head of Marketing/CMO),No Info,Открытая,No Info,https://api.hh.ru/vacancies/129429308?host=hh.ru,Удаленная работа,Удалённо,От 3 до 6 лет
353,Head of Revenue или Head of Marketplace Efficiency,No Info,Открытая,No Info,https://api.hh.ru/vacancies/130022130?host=hh.ru,Полный день,На месте работодателя,Более 6 лет
354,Data Scientist / Machine Learning Engineer,No Info,Открытая,No Info,https://api.hh.ru/vacancies/130168772?host=hh.ru,Удаленная работа,Удалённо,От 3 до 6 лет
355,Tech lead в команду BI (МГТС),No Info,Открытая,No Info,https://api.hh.ru/vacancies/130217226?host=hh.ru,Полный день,Гибрид,От 3 до 6 лет
356,Data Analyst,No Info,Открытая,No Info,https://api.hh.ru/vacancies/129449303?host=hh.ru,Полный день,На месте работодателя,От 1 года до 3 лет
357,Аналитик DWH/BI,No Info,Открытая,No Info,https://api.hh.ru/vacancies/129700920?host=hh.ru,Полный день,No Info,От 1 года до 3 лет
358,Младший аналитик в группу анализа данных и алгоритмов,No Info,Открытая,No Info,https://api.hh.ru/vacancies/128947389?host=hh.ru,Удаленная работа,Удалённо,От 1 года до 3 лет
359,Antifraud Analyst / Data Analyst,No Info,Открытая,No Info,https://api.hh.ru/vacancies/129291207?host=hh.ru,Удаленная работа,Удалённо,Нет опыта
360,Руководитель отдела разработки специализированных сервисов,No Info,Открытая,No Info,https://api.hh.ru/vacancies/130037463?host=hh.ru,Полный день,На месте работодателя,От 3 до 6 лет
361,Младший менеджер продукта,No Info,Открытая,No Info,https://api.hh.ru/vacancies/129582020?host=hh.ru,Полный день,Гибрид,От 1 года до 3 лет
362,Data Analyst (Аналитик данных) iGaming,No Info,Открытая,No Info,https://api.hh.ru/vacancies/128943737?host=hh.ru,Удаленная работа,Удалённо,От 3 до 6 лет
363,Продуктовый аналитик в Шопинг,No Info,Открытая,No Info,https://api.hh.ru/vacancies/129616144?host=hh.ru,Удаленная работа,Удалённо,От 1 года до 3 лет
364,Менеджер по продажам (Майнинг оборудование),No Info,Открытая,No Info,https://api.hh.ru/vacancies/130171932?host=hh.ru,Удаленная работа,Удалённо,От 3 до 6 лет
365,Продуктовый дизайнер (Senior),from 250000 to 350000 in RUR,Открытая,No Info,https://api.hh.ru/vacancies/129935116?host=hh.ru,Удаленная работа,Удалённо,Более 6 лет
366,Бизнес-аналитик,No Info,Открытая,No Info,https://api.hh.ru/vacancies/129277213?host=hh.ru,Удаленная работа,Удалённо,От 1 года до 3 лет
367,Менеджер по продукту (рекламная платформа),No Info,Открытая,No Info,https://api.hh.ru/vacancies/129946544?host=hh.ru,Полный день,Гибрид,От 1 года до 3 лет
368,Data Engineer / Инженер данных (Middle / Middle+),No Info,Открытая,No Info,https://api.hh.ru/vacancies/130252940?host=hh.ru,Удаленная работа,На месте работодателя,От 3 до 6 лет
369,Middle Python Developer [РТК Data],No Info,Открытая,No Info,https://api.hh.ru/vacancies/129726127?host=hh.ru,Полный день,No Info,От 1 года до 3 лет
370,Lead BI аналитик,No Info,Открытая,No Info,https://api.hh.ru/vacancies/128093403?host=hh.ru,Полный день,Гибрид,Более 6 лет
371,Бизнес-аналитик (Аналитик данных),from 130000 to 180000 in RUR,Открытая,No Info,https://api.hh.ru/vacancies/129919871?host=hh.ru,Полный день,На месте работодателя,От 3 до 6 лет
372,Digital-маркетолог универсал (E-commerce & Performance),from 200000 to None in RUR,Открытая,No Info,https://api.hh.ru/vacancies/129973199?host=hh.ru,Полный день,На месте работодателя,От 1 года до 3 лет
373,Менеджер по маркетингу (Медиа),No Info,Открытая,No Info,https://api.hh.ru/vacancies/126526664?host=hh.ru,Полный день,Гибрид,От 3 до 6 лет
374,Продуктовый аналитик,No Info,Открытая,No Info,https://api.hh.ru/vacancies/130033595?host=hh.ru,Полный день,На месте работодателя,От 3 до 6 лет
375,Коммерческий директор (CCO),No Info,Открытая,No Info,https://api.hh.ru/vacancies/128723818?host=hh.ru,Полный день,На месте работодателя,Более 6 лет
376,Data аналитик,from 180000 to None in RUR,Открытая,No Info,https://api.hh.ru/vacancies/129641921?host=hh.ru,Удаленная работа,Удалённо,От 3 до 6 лет
377,Продуктовый аналитик / Product Analyst,No Info,Открытая,No Info,https://api.hh.ru/vacancies/129150096?host=hh.ru,Удаленная работа,Удалённо,От 1 года до 3 лет
378,Data analyst,No Info,Открытая,No Info,https://api.hh.ru/vacancies/130184624?host=hh.ru,Полный день,На месте работодателя,От 3 до 6 лет
379,Эксперт по ИТ консалтингу и цифровой зрелости,No Info,Открытая,No Info,https://api.hh.ru/vacancies/129862657?host=hh.ru,Полный день,На месте работодателя,Более 6 лет
380,Product Manager (B2B),No Info,Открытая,No Info,https://api.hh.ru/vacancies/129716343?host=hh.ru,Удаленная работа,На месте работодателя,От 3 до 6 лет
381,Lead Product Manager,No Info,Открытая,No Info,https://api.hh.ru/vacancies/128564992?host=hh.ru,Полный день,Гибрид,Более 6 лет
382,CRM-менеджер,from 160000 to 160000 in RUR,Открытая,No Info,https://api.hh.ru/vacancies/129726702?host=hh.ru,Полный день,На месте работодателя,От 3 до 6 лет
383,Python-разработчик (FastAPI),No Info,Открытая,No Info,https://api.hh.ru/vacancies/129360735?host=hh.ru,Удаленная работа,Удалённо,От 3 до 6 лет
384,Ведущий системный аналитик,No Info,Открытая,No Info,https://api.hh.ru/vacancies/129616916?host=hh.ru,Полный день,На месте работодателя,Более 6 лет
385,Бизнес-аналитик,No Info,Открытая,No Info,https://api.hh.ru/vacancies/129925698?host=hh.ru,Полный день,На месте работодателя,От 3 до 6 лет
386,Аналитик данных/Data Analyst,No Info,Открытая,No Info,https://api.hh.ru/vacancies/129243173?host=hh.ru,Полный день,На месте работодателя,От 3 до 6 лет
387,Руководитель отдела управления данными,No Info,Открытая,No Info,https://api.hh.ru/vacancies/130043944?host=hh.ru,Полный день,No Info,От 3 до 6 лет
388,Data Engineer,No Info,Открытая,No Info,https://api.hh.ru/vacancies/128668528?host=hh.ru,Удаленная работа,Удалённо,От 1 года до 3 лет
389,Data Engineer,No Info,Открытая,No Info,https://api.hh.ru/vacancies/128913827?host=hh.ru,Полный день,На месте работодателя,От 1 года до 3 лет
390,Python-разработчик,No Info,Открытая,No Info,https://api.hh.ru/vacancies/129377430?host=hh.ru,Полный день,Гибрид,От 1 года до 3 лет
391,Бизнес-аналитик,No Info,Открытая,No Info,https://api.hh.ru/vacancies/129721472?host=hh.ru,Удаленная работа,Удалённо,От 1 года до 3 лет
392,Data analyst,No Info,Открытая,No Info,https://api.hh.ru/vacancies/129218569?host=hh.ru,Удаленная работа,Удалённо,От 3 до 6 лет
393,Middle Data Analyst,No Info,Анонимная,No Info,https://api.hh.ru/vacancies/129672120?host=hh.ru,Удаленная работа,Удалённо,От 3 до 6 лет
394,Специалист по внедрению ИИ (AI-специалист),from 150000 to 300000 in RUR,Открытая,No Info,https://api.hh.ru/vacancies/129473666?host=hh.ru,Удаленная работа,Удалённо,От 3 до 6 лет
395,Аналитик данных,No Info,Открытая,No Info,https://api.hh.ru/vacancies/129492189?host=hh.ru,Удаленная работа,Удалённо,От 3 до 6 лет
396,Менеджер по подбору товаров ozon product scout,from 100000 to None in RUR,Открытая,No Info,https://api.hh.ru/vacancies/129545138?host=hh.ru,Удаленная работа,Удалённо,От 1 года до 3 лет
397,Python-разработчик (офис Москва),from None to 200000 in RUR,Открытая,No Info,https://api.hh.ru/vacancies/129294711?host=hh.ru,Полный день,На месте работодателя,Более 6 лет
398,Руководитель отдела маркетинга (Fashion-одежда),from 250000 to 300000 in RUR,Открытая,No Info,https://api.hh.ru/vacancies/130136595?host=hh.ru,Полный день,На месте работодателя,От 3 до 6 лет
399,Head of CRM,No Info,Открытая,No Info,https://api.hh.ru/vacancies/130100824?host=hh.ru,Удаленная работа,На месте работодателя,От 3 до 6 лет
400,Data Full-Stack аналитик,from None to 150000 in RUR,Открытая,No Info,https://api.hh.ru/vacancies/129666851?host=hh.ru,Удаленная работа,Удалённо,От 3 до 6 лет
401,Chief Data Officer,No Info,Открытая,No Info,https://api.hh.ru/vacancies/129862449?host=hh.ru,Полный день,На месте работодателя,От 3 до 6 лет
402,Product Lead в Центральный университет,No Info,Открытая,No Info,https://api.hh.ru/vacancies/129472313?host=hh.ru,Полный день,Гибрид,От 3 до 6 лет
403,Аналитик данных (Data Platform и ML),No Info,Открытая,No Info,https://api.hh.ru/vacancies/129276406?host=hh.ru,Удаленная работа,Удалённо,От 3 до 6 лет
404,BI-разработчик,No Info,Открытая,No Info,https://api.hh.ru/vacancies/130071058?host=hh.ru,Удаленная работа,Удалённо,От 3 до 6 лет
405,Data Scientist (Предиктивная аналитика: инвестиционное направление),No Info,Открытая,No Info,https://api.hh.ru/vacancies/129478666?host=hh.ru,Удаленная работа,Удалённо,От 3 до 6 лет
406,"Заместитель руководителя проекта (мерчендайзинг, ЮАО)",from 110000 to None in RUR,Открытая,No Info,https://api.hh.ru/vacancies/129809167?host=hh.ru,Полный день,No Info,От 1 года до 3 лет
407,Менеджер по продажам курсов академии MPSTATS,from 80000 to 180000 in RUR,Открытая,No Info,https://api.hh.ru/vacancies/130032223?host=hh.ru,Удаленная работа,На месте работодателя,Более 6 лет
408,DataPlatform DevOps/DWH DBA/Infrastructure Engineer,No Info,Открытая,No Info,https://api.hh.ru/vacancies/130080276?host=hh.ru,Удаленная работа,Удалённо,От 1 года до 3 лет
409,Ведущий менеджер проектов (CSM),from 120000 to None in RUR,Открытая,No Info,https://api.hh.ru/vacancies/129717927?host=hh.ru,Полный день,На месте работодателя,От 1 года до 3 лет
410,Data Research Analyst / Специалист по сбору B2B-баз (Junior/Middle),from 30000 to 40000 in RUR,Открытая,No Info,https://api.hh.ru/vacancies/130113101?host=hh.ru,Удаленная работа,Удалённо,От 1 года до 3 лет
411,Руководитель отдела продаж B2B,No Info,Открытая,No Info,https://api.hh.ru/vacancies/130155080?host=hh.ru,Полный день,На месте работодателя,От 3 до 6 лет
412,Разработчик DWH и BI,No Info,Открытая,No Info,https://api.hh.ru/vacancies/128922370?host=hh.ru,Полный день,Гибрид,Нет опыта
413,ML Engineer / Data Science Developer (Python) / Дата-сайентист,from 230000 to 310000 in RUR,Открытая,No Info,https://api.hh.ru/vacancies/129354443?host=hh.ru,Удаленная работа,Удалённо,От 3 до 6 лет
414,Аналитик DWH (GreenPlum/Oracle/pgSQL),No Info,Открытая,No Info,https://api.hh.ru/vacancies/129465133?host=hh.ru,Удаленная работа,Удалённо,От 3 до 6 лет
415,Senior ML‑инженер,from 400000 to 600000 in RUR,Открытая,No Info,https://api.hh.ru/vacancies/129769843?host=hh.ru,Удаленная работа,Удалённо,Более 6 лет
416,Product Manager / Менеджер продукта (Рекламная платформа),No Info,Открытая,No Info,https://api.hh.ru/vacancies/129745112?host=hh.ru,Полный день,На месте работодателя,От 1 года до 3 лет
417,Product owner дебетовых карт и программы лояльности,No Info,Открытая,No Info,https://api.hh.ru/vacancies/130176507?host=hh.ru,Полный день,No Info,От 1 года до 3 лет
418,Data engineer,No Info,Открытая,No Info,https://api.hh.ru/vacancies/130221682?host=hh.ru,Полный день,На месте работодателя,От 3 до 6 лет
419,Head of Product UX/UI | Product Owner (IT | e-com | b2b),No Info,Открытая,No Info,https://api.hh.ru/vacancies/129354907?host=hh.ru,Полный день,На месте работодателя,От 3 до 6 лет
420,HR-аналитик,No Info,Открытая,No Info,https://api.hh.ru/vacancies/130099743?host=hh.ru,Полный день,Гибрид,От 3 до 6 лет
421,Digital Marketing Manager,No Info,Открытая,No Info,https://api.hh.ru/vacancies/129042209?host=hh.ru,Полный день,На месте работодателя,От 3 до 6 лет
422,Аналитик/Старший менеджер по анализу,from None to 180000 in RUR,Открытая,No Info,https://api.hh.ru/vacancies/129590996?host=hh.ru,Полный день,На месте работодателя,От 1 года до 3 лет
423,Business development manager (digital),No Info,Открытая,No Info,https://api.hh.ru/vacancies/130156711?host=hh.ru,Полный день,На месте работодателя,От 3 до 6 лет
424,Старший специалист по CRM-маркетингу в команду Авито Услуг,No Info,Открытая,No Info,https://api.hh.ru/vacancies/130172146?host=hh.ru,Полный день,Гибрид,От 3 до 6 лет
425,CRM-маркетолог,from 300000 to 350000 in RUR,Открытая,No Info,https://api.hh.ru/vacancies/129375933?host=hh.ru,Полный день,На месте работодателя,От 1 года до 3 лет
426,ИТ Директор,No Info,Открытая,No Info,https://api.hh.ru/vacancies/121438420?host=hh.ru,Полный день,На месте работодателя,Более 6 лет
427,Инженер по внедрению/SQL разработчик,No Info,Открытая,No Info,https://api.hh.ru/vacancies/129433441?host=hh.ru,Удаленная работа,Удалённо,От 1 года до 3 лет
428,Java-разработчик,No Info,Открытая,No Info,https://api.hh.ru/vacancies/129269951?host=hh.ru,Полный день,На месте работодателя,Более 6 лет
429,Data Engineer (Дата-инженер),from 100000 to 200000 in RUR,Открытая,No Info,https://api.hh.ru/vacancies/129463844?host=hh.ru,Удаленная работа,Удалённо,От 1 года до 3 лет
430,Аналитик (клиентский сервис),No Info,Открытая,No Info,https://api.hh.ru/vacancies/129360485?host=hh.ru,Полный день,Гибрид,От 1 года до 3 лет
431,Аналитик маркетинговых проектов,No Info,Открытая,No Info,https://api.hh.ru/vacancies/128390253?host=hh.ru,Полный день,Гибрид,От 1 года до 3 лет
432,Руководитель отдела SMM и контент-маркетинга,from 200000 to 500000 in RUR,Открытая,No Info,https://api.hh.ru/vacancies/129405111?host=hh.ru,Полный день,На месте работодателя,От 3 до 6 лет
433,Md-Sr Product/Data Analyst,from 3000 to None in EUR,Открытая,No Info,https://api.hh.ru/vacancies/129536073?host=hh.ru,Удаленная работа,Удалённо,От 3 до 6 лет
434,Аналитик медиа / социальных медиа (медиааналитик),No Info,Открытая,No Info,https://api.hh.ru/vacancies/129299036?host=hh.ru,Удаленная работа,Удалённо,От 1 года до 3 лет
435,Java Developer,No Info,Открытая,No Info,https://api.hh.ru/vacancies/128666934?host=hh.ru,Полный день,Гибрид,Более 6 лет
436,Техлид Java / tech lead Java,No Info,Открытая,No Info,https://api.hh.ru/vacancies/130086216?host=hh.ru,Полный день,На месте работодателя,Более 6 лет
437,Аналитик данных (SQL),from 180000 to 206000 in RUR,Открытая,No Info,https://api.hh.ru/vacancies/129753992?host=hh.ru,Полный день,No Info,От 1 года до 3 лет
438,Data Analyst (Аналитика продавца),No Info,Открытая,No Info,https://api.hh.ru/vacancies/129297572?host=hh.ru,Полный день,No Info,От 3 до 6 лет
439,Продакт-менеджер по работе с аптечными сетями,from 200000 to None in RUR,Открытая,No Info,https://api.hh.ru/vacancies/129950198?host=hh.ru,Полный день,No Info,От 3 до 6 лет
440,Аналитик данных (дата инженер/data scientist),No Info,Открытая,No Info,https://api.hh.ru/vacancies/129493468?host=hh.ru,Полный день,На месте работодателя,От 3 до 6 лет
441,"BI-аналитик маркетплейсов Wildberries, Ozon",No Info,Открытая,No Info,https://api.hh.ru/vacancies/129522578?host=hh.ru,Удаленная работа,На месте работодателя,От 1 года до 3 лет
442,Java Developer. Проект «Travel Portal»,No Info,Открытая,No Info,https://api.hh.ru/vacancies/129344159?host=hh.ru,Полный день,На месте работодателя,От 3 до 6 лет
443,Digital Planner,No Info,Открытая,No Info,https://api.hh.ru/vacancies/129758836?host=hh.ru,Полный день,No Info,От 1 года до 3 лет
444,Разработчик BI,No Info,Открытая,No Info,https://api.hh.ru/vacancies/129764902?host=hh.ru,Удаленная работа,Удалённо,От 1 года до 3 лет
445,HR-аналитик,No Info,Открытая,No Info,https://api.hh.ru/vacancies/129370902?host=hh.ru,Полный день,Гибрид,От 3 до 6 лет
446,Team Lead развития DWH,No Info,Открытая,No Info,https://api.hh.ru/vacancies/130202276?host=hh.ru,Полный день,Гибрид,От 3 до 6 лет
447,Руководитель отдела маркетинга (направление digital - продвижения),No Info,Открытая,No Info,https://api.hh.ru/vacancies/129377432?host=hh.ru,Полный день,На месте работодателя,От 3 до 6 лет
448,Data Scientist в отдел разработки скоринговых моделей,No Info,Открытая,No Info,https://api.hh.ru/vacancies/129392459?host=hh.ru,Полный день,На месте работодателя,От 1 года до 3 лет
449,IT-ресечер/сорсер,No Info,Открытая,No Info,https://api.hh.ru/vacancies/130045385?host=hh.ru,Удаленная работа,Удалённо,От 1 года до 3 лет
450,Бизнес-аналитик BI,No Info,Открытая,No Info,https://api.hh.ru/vacancies/129476589?host=hh.ru,Полный день,No Info,От 3 до 6 лет
451,Аналитик Data & AI Strategy,No Info,Открытая,No Info,https://api.hh.ru/vacancies/130044312?host=hh.ru,Удаленная работа,Удалённо,От 1 года до 3 лет
452,Ведущий разработчик Java,from None to 350000 in RUR,Открытая,No Info,https://api.hh.ru/vacancies/129434177?host=hh.ru,Полный день,Гибрид,От 3 до 6 лет
453,Data Engineer Middle,No Info,Открытая,No Info,https://api.hh.ru/vacancies/129572125?host=hh.ru,Удаленная работа,На месте работодателя,От 1 года до 3 лет
454,Специалист по визуализации данных,No Info,Открытая,No Info,https://api.hh.ru/vacancies/129890135?host=hh.ru,Полный день,На месте работодателя,От 3 до 6 лет
455,Руководитель отдела анализа и планирования (управленческий фин.учет),from 246000 to 328000 in RUR,Открытая,No Info,https://api.hh.ru/vacancies/127178650?host=hh.ru,Полный день,На месте работодателя,Более 6 лет
456,Директор по продукту в Финтех стартап (CPO/Head of Product),from 500000 to None in RUR,Открытая,No Info,https://api.hh.ru/vacancies/129356412?host=hh.ru,Удаленная работа,Удалённо,От 3 до 6 лет
457,Аналитик DWH,No Info,Открытая,No Info,https://api.hh.ru/vacancies/130051767?host=hh.ru,Удаленная работа,Удалённо,От 1 года до 3 лет
458,Data Analyst,No Info,Открытая,No Info,https://api.hh.ru/vacancies/129876745?host=hh.ru,Удаленная работа,Удалённо,От 3 до 6 лет
459,Аналитик отдела финансового планирования (FP Analyst),No Info,Открытая,No Info,https://api.hh.ru/vacancies/130253548?host=hh.ru,Полный день,Гибрид,От 3 до 6 лет
460,Стажер группы маркетинговой аналитики,No Info,Открытая,No Info,https://api.hh.ru/vacancies/129539843?host=hh.ru,Полный день,No Info,Нет опыта
461,Аналитик данных (Middle/Senior),No Info,Открытая,No Info,https://api.hh.ru/vacancies/129928957?host=hh.ru,Полный день,Гибрид,Более 6 лет
